GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: API,org.apache.plc4x.java.api.authentication,PlcUsernamePasswordAuthentication,65,23,10,0,7,8,8,3,3,3
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcRuntimeException,20,0,0,0,8,0,4,0,4,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcIncompatibleDatatypeException,16,0,0,0,2,0,1,0,1,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcIoException,20,0,0,0,8,0,4,0,4,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcConnectionException,20,0,0,0,8,0,4,0,4,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcProtocolPayloadTooBigException,43,0,0,0,10,0,5,0,5,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcException,20,0,0,0,8,0,4,0,4,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcInvalidFieldException,43,0,0,0,6,0,3,0,3,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcUnsupportedDataTypeException,31,0,0,0,10,0,5,0,5,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcUnsupportedOperationException,4,0,0,0,2,0,1,0,1,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcProtocolException,20,0,0,0,8,0,4,0,4,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcTimeoutException,21,0,0,0,4,0,2,0,2,0
PLC4J: API,org.apache.plc4x.java.api.exceptions,PlcNotImplementedException,4,0,0,0,2,0,1,0,1,0
PLC4J: API,org.apache.plc4x.java.api.types,PlcSubscriptionType,34,0,0,0,4,0,1,0,1,0
PLC4J: API,org.apache.plc4x.java.api.types,PlcClientDatatype,114,0,0,0,12,0,1,0,1,0
PLC4J: API,org.apache.plc4x.java.api.types,PlcResponseCode,64,0,0,0,7,0,1,0,1,0
