GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip,EtherNetIpPlcDriver,82,0,6,0,17,0,9,0,6,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.netty.events,EtherNetIpConnectedEvent,3,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.connection,EtherNetIpTcpPlcConnection,52,0,0,0,12,0,6,0,6,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.connection,BaseEtherNetIpPlcConnection,110,0,8,0,24,0,9,0,5,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.connection,EtherNetIpTcpPlcConnection.1.new ChannelInboundHandlerAdapter() {...},21,0,2,0,5,0,3,0,2,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.connection,EtherNetIpTcpPlcConnection.new ChannelInitializer() {...},47,0,0,0,6,0,2,0,2,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.netty,Plc4XEtherNetIpProtocol.new Object() {...},61,0,0,0,1,0,1,0,1,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.netty,EnipCodec,46,0,4,0,11,0,6,0,4,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.netty,Plc4XEtherNetIpProtocol,792,0,68,0,163,0,53,0,16,0
PLC4J: Protocol: Ethernet/IP,org.apache.plc4x.java.ethernetip.model,EtherNetIpAddress,144,0,12,0,26,0,16,0,10,0
