GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,ReadDiscreteInputsModbusAddress,14,32,1,1,1,7,1,3,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,ReadInputRegistersModbusAddress,14,32,1,1,1,7,1,3,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,RegisterModbusAddress,14,32,1,1,1,7,1,3,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,CoilModbusAddress,14,32,1,1,1,7,1,3,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,ReadHoldingRegistersModbusAddress,14,32,1,1,1,7,1,3,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,MaskWriteRegisterModbusAddress,69,78,11,1,10,15,8,6,2,6
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.model,ModbusAddress,32,25,6,0,7,6,5,4,2,4
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.netty,Plc4XModbusProtocol,537,1519,57,159,52,303,60,63,4,11
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus,ModbusPlcDriver,6,107,1,7,0,25,1,10,0,7
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.connection,ModbusConnectionFactory,0,25,0,2,0,7,0,4,0,3
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.connection,BaseModbusPlcConnection,19,153,3,19,4,36,3,15,0,7
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.connection,ModbusTcpPlcConnection,0,60,0,0,0,13,0,8,0,8
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.connection,ModbusTcpPlcConnection.new ChannelInitializer() {...},0,37,0,0,0,4,0,2,0,2
PLC4J: Protocol: Modbus,org.apache.plc4x.java.modbus.connection,ModbusSerialPlcConnection,5,22,0,0,1,5,1,3,1,3
