GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper,14,144,6,21,6,37,6,15,0,7
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator,97,95,17,10,23,27,15,9,2,8
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator,60,137,15,14,16,37,16,11,2,9
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7TypeEncoder,21,500,4,34,3,74,4,23,0,8
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7ResponseSizeEstimator.new Object() {...},3,23,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7TypeDecoder,22,287,3,19,3,33,3,9,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7RequestSizeCalculator.new Object() {...},3,23,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.util,S7SizeHelper.new Object() {...},3,23,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ProtocolClass,0,103,0,2,0,15,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DeviceGroup,0,81,0,2,0,13,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,DisconnectReason,0,191,0,2,0,23,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,RejectCause,0,92,0,2,0,14,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,ParameterCode,0,279,0,2,0,31,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduCode,0,176,0,4,0,23,0,6,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.types,TpduSize,0,169,0,8,0,25,0,10,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,VarParameter,0,22,0,0,0,8,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,SetupCommunicationParameter,0,23,0,0,0,9,0,5,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.params,CpuServicesParameter,0,5,0,0,0,2,0,2,0,2
PLC4J: Protocol: S7,org.apache.plc4x.java.isoontcp.netty.model,IsoOnTcpMessage,0,4,0,0,0,2,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.payloads,VarPayload,0,22,0,0,0,8,0,4,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportErrorCode,0,116,0,4,0,18,0,6,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterType,0,193,0,4,0,25,0,6,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,VariableAddressingMode,0,169,0,2,0,21,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MemoryArea,0,213,0,2,0,25,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,HeaderErrorClass,0,125,0,2,0,17,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,ParameterError,0,290,0,2,0,32,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,TransportSize,0,258,0,2,0,29,0,6,0,5
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,SpecificationType,0,59,0,2,0,11,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize,12,145,6,3,6,21,6,7,0,6
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,MessageType,0,92,0,2,0,14,0,5,0,4
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.netty.model.types,DataTransportSize.new Object() {...},17,107,0,0,0,1,0,1,0,1
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection,142,248,7,15,33,57,10,17,6,9
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.1.new ChannelInboundHandlerAdapter() {...},21,0,2,0,5,0,3,0,2,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7.connection,S7PlcConnection.new ChannelInitializer() {...},93,0,0,0,8,0,2,0,2,0
PLC4J: Protocol: S7,org.apache.plc4x.java.s7,S7PlcDriver,46,26,3,1,9,7,3,5,1,5
PLC4J: Protocol: S7,org.apache.plc4x.java.isotp.netty.model.params,DisconnectAdditionalInformationParameter,0,11,0,0,0,5,0,3,0,3
